id,sensing_time,mission_id,cloud_cover,mean_ndvi
8,2015-08-06T17:12:25,SENTINEL-2A,1.8924,0.556243
10,2015-08-16T17:12:26,SENTINEL-2A,72.7959,0.172540
2,2015-10-05T17:18:05,SENTINEL-2A,4.5706,0.472654
64,2015-11-14T17:10:02,SENTINEL-2A,62.8798,0.145338
21,2015-12-04T17:14:55,SENTINEL-2A,19.5212,0.310653
23,2015-12-04T17:14:55.690000,SENTINEL-2A,19.5212,0.310653
170,2016-01-03T17:19:47.484000,SENTINEL-2A,47.0,0.147707
168,2016-01-03T17:19:47.484000,SENTINEL-2A,47.0,0.147707
629,2016-02-02T17:14:52.484000,SENTINEL-2A,40.7613,0.311182
631,2016-02-02T17:14:52.484000,SENTINEL-2A,40.7613,0.311182
59,2016-03-03T17:08:54.628000,SENTINEL-2A,53.2666,0.136073
62,2016-03-03T17:08:54.630000,SENTINEL-2A,53.2666,0.136073
72,2016-04-02T17:18:06.013000,SENTINEL-2A,5.0421,0.356258
57,2016-05-12T17:11:44,SENTINEL-2A,51.3391,0.158823
325,2016-06-01T17:11:25,SENTINEL-2A,34.1873,0.174454
327,2016-06-21T17:08:07.910000,SENTINEL-2A,91.3603,0.070502
960,2016-07-11T17:11:10.289000,SENTINEL-2A,86.5491,0.041757
962,2016-07-31T17:11:06.684000,SENTINEL-2A,55.7052,0.137451
634,2016-08-20T17:11:12.900000,SENTINEL-2A,37.5452,0.192056
768,2016-09-09T17:11:07.900000,SENTINEL-2A,5.8436,0.418984
771,2016-09-29T17:10:11.790000,SENTINEL-2A,41.7898,0.319084
310,2016-10-19T17:08:29.730000,SENTINEL-2A,8.5837,0.325910
49,2016-11-08T17:18:08.920000,SENTINEL-2A,52.7885,0.157093
52,2016-11-18T17:07:44,SENTINEL-2A,28.9102,0.236148
53,2016-11-28T17:11:21.260000,SENTINEL-2A,0.2443,0.246434
54,2016-11-28T17:11:21.260000,SENTINEL-2A,0.2443,0.466336
159,2017-04-17T17:14:25.720000,SENTINEL-2A,22.759,0.206705
613,2017-05-07T17:14:09.680000,SENTINEL-2A,32.9386,0.141344
113,2017-06-16T17:15:05.410000,SENTINEL-2A,20.055,0.256860
44,2017-07-06T17:13:50.790000,SENTINEL-2A,60.4549,0.327227
48,2017-08-15T17:15:19.380000,SENTINEL-2A,21.6494,0.328453
697,2017-09-04T17:15:17.380000,SENTINEL-2A,87.2346,0.091659
700,2017-09-24T17:10:19.130000,SENTINEL-2A,66.0041,0.153921
38,2017-10-14T17:07:14.400000,SENTINEL-2A,8.2433,0.460104
812,2017-11-03T17:15:57.290000,SENTINEL-2A,6.6236,0.496683
814,2017-11-23T17:06:23.460000,SENTINEL-2A,1.3986,0.441781
193,2017-12-13T17:07:13.460000,SENTINEL-2A,0.302,0.388831
191,2017-12-13T17:07:13.460000,SENTINEL-2A,0.302,0.208334
217,2018-01-02T17:07:08.460000,SENTINEL-2A,7.3524,0.237913
219,2018-01-22T17:17:10.690000,SENTINEL-2A,62.2736,0.286927
213,2018-02-11T17:08:19.960000,SENTINEL-2A,80.1011,0.223562
215,2018-02-21T17:14:31.510000,SENTINEL-2A,7.8834,0.228126
27,2018-03-03T17:15:28.990000,SENTINEL-2A,1.2019,0.317890
29,2018-03-13T17:17:39.420000,SENTINEL-2A,3.5714,0.269040
258,2018-04-02T17:12:16.990000,SENTINEL-2A,10.6946,0.277177
260,2018-04-12T17:08:45.130000,SENTINEL-2A,40.3641,0.136924
383,2018-04-22T17:09:40.250000,SENTINEL-2A,13.8464,0.244732
284,2018-05-02T17:13:43.990000,SENTINEL-2A,95.6807,0.080472
286,2018-05-12T17:10:13.720000,SENTINEL-2A,25.3178,0.245980
15,2018-05-22T17:16:56.790000,SENTINEL-2A,19.4166,0.281469
105,2018-06-01T17:11:52.740000,SENTINEL-2A,2.2693,0.403580
107,2018-06-11T17:17:05.620000,SENTINEL-2A,48.1443,0.159163
33,2018-06-21T17:13:11.110000,SENTINEL-2A,76.9929,0.071896
387,2018-07-11T17:18:00.730000,SENTINEL-2A,58.9544,0.113480
419,2018-07-21T17:16:16.110000,SENTINEL-2A,31.6418,0.420826
421,2018-07-31T17:16:16.110000,SENTINEL-2A,52.7969,0.206301
223,2018-08-10T17:17:30.870000,SENTINEL-2A,27.5504,0.279101
225,2018-08-20T17:12:23.210000,SENTINEL-2A,82.6496,0.260815
237,2018-08-30T17:14:40.310000,SENTINEL-2A,98.5284,0.165381
844,2018-09-09T17:17:24.260000,SENTINEL-2A,15.8987,0.330405
846,2018-09-19T17:10:08.990000,SENTINEL-2A,6.7603,0.358067
540,2018-09-29T17:12:08.890000,SENTINEL-2A,56.2903,0.251952
101,2018-10-09T17:12:34.210000,SENTINEL-2A,30.1077,0.279450
103,2018-10-19T17:16:36.770000,SENTINEL-2A,56.1407,0.275646
451,2018-10-29T17:07:20.850000,SENTINEL-2A,94.5934,0.183783
438,2018-11-08T17:18:21.230000,SENTINEL-2A,0.3375,0.506579
440,2018-11-18T17:18:19.510000,SENTINEL-2A,89.9128,0.424727
442,2018-11-28T17:18:17.200000,SENTINEL-2A,87.0512,0.114243
600,2018-12-08T17:18:17.510000,SENTINEL-2A,2.125,0.405688
602,2018-12-18T17:18:17.140000,SENTINEL-2A,14.692,0.375588
604,2018-12-28T17:18:19.160000,SENTINEL-2A,99.8176,0.194625
